name,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,start,win,game_id
Dennis Smith Jr.,33.0,8.0,16.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,2.0,6.0,3.0,1.0,2.0,3.0,18.0,9.0,1,1,202210230ATL
Kelly Oubre Jr.,32.0,9.0,20.0,0.45,3.0,6.0,0.5,3.0,3.0,1.0,2.0,8.0,10.0,0.0,1.0,0.0,1.0,4.0,24.0,12.0,1,1,202210230ATL
Gordon Hayward,31.0,4.0,10.0,0.4,1.0,4.0,0.25,3.0,5.0,0.6,0.0,3.0,3.0,5.0,1.0,0.0,4.0,0.0,12.0,0.0,1,1,202210230ATL
Mason Plumlee,26.0,2.0,4.0,0.5,0.0,0.0,,4.0,9.0,0.444,1.0,7.0,8.0,6.0,0.0,1.0,2.0,2.0,8.0,-7.0,1,1,202210230ATL
P.J. Washington,21.0,4.0,8.0,0.5,2.0,4.0,0.5,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,4.0,12.0,0.0,1,1,202210230ATL
Jalen McDaniels,20.0,3.0,6.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,1.0,4.0,5.0,3.0,0.0,1.0,1.0,3.0,9.0,13.0,0,1,202210230ATL
Nick Richards,20.0,9.0,9.0,1.0,0.0,0.0,,2.0,3.0,0.667,5.0,6.0,11.0,1.0,0.0,2.0,0.0,1.0,20.0,25.0,0,1,202210230ATL
James Bouknight,17.0,3.0,9.0,0.333,2.0,4.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,10.0,20.0,0,1,202210230ATL
JT Thor,16.0,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,,1.0,5.0,6.0,0.0,0.0,1.0,1.0,2.0,5.0,12.0,0,1,202210230ATL
Théo Maledon,14.0,1.0,1.0,1.0,0.0,0.0,,2.0,3.0,0.667,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,4.0,8.0,0,1,202210230ATL
Bryce McGowens,2.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-5.0,0,1,202210230ATL
Mark Williams,1.0,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,0,1,202210230ATL
Kai Jones,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,1,202210230ATL
Dejounte Murray,38.0,7.0,15.0,0.467,2.0,4.0,0.5,3.0,3.0,1.0,1.0,7.0,8.0,5.0,1.0,1.0,4.0,2.0,19.0,-11.0,1,0,202210230ATL
John Collins,38.0,3.0,12.0,0.25,0.0,7.0,0.0,4.0,4.0,1.0,2.0,8.0,10.0,1.0,1.0,4.0,1.0,2.0,10.0,-11.0,1,0,202210230ATL
Trae Young,33.0,9.0,25.0,0.36,2.0,8.0,0.25,8.0,9.0,0.889,2.0,3.0,5.0,9.0,0.0,0.0,1.0,4.0,28.0,-6.0,1,0,202210230ATL
De'Andre Hunter,31.0,4.0,11.0,0.364,1.0,5.0,0.2,1.0,2.0,0.5,2.0,3.0,5.0,4.0,1.0,0.0,1.0,3.0,10.0,-2.0,1,0,202210230ATL
Clint Capela,22.0,6.0,8.0,0.75,0.0,0.0,,2.0,2.0,1.0,5.0,5.0,10.0,1.0,1.0,1.0,1.0,4.0,14.0,-19.0,1,0,202210230ATL
Onyeka Okongwu,23.0,4.0,6.0,0.667,0.0,0.0,,2.0,4.0,0.5,3.0,2.0,5.0,1.0,1.0,2.0,2.0,4.0,10.0,1.0,0,0,202210230ATL
Justin Holiday,17.0,1.0,7.0,0.143,1.0,5.0,0.2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,-18.0,0,0,202210230ATL
Aaron Holiday,13.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,-22.0,0,0,202210230ATL
Jalen Johnson,9.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,-6.0,0,0,202210230ATL
AJ Griffin,6.0,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,6.0,0,0,202210230ATL
Tyrese Martin,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0,0,202210230ATL
