date,team_visitor,team_home
2022-10-18,Philadelphia,Boston
2022-10-18,LA Lakers,Golden State
2022-10-19,Orlando,Detroit
2022-10-19,Washington,Indiana
2022-10-19,Houston,Atlanta
2022-10-19,New Orleans,Brooklyn
2022-10-19,New York,Memphis
2022-10-19,Chicago,Miami
2022-10-19,Cleveland,Toronto
2022-10-19,Oklahoma City,Minnesota
2022-10-19,Charlotte,San Antonio
2022-10-19,Denver,Utah
2022-10-19,Dallas,Phoenix
2022-10-19,Portland,Sacramento
2022-10-20,Milwaukee,Philadelphia
2022-10-20,LA Clippers,LA Lakers
2022-10-21,New Orleans,Charlotte
2022-10-21,San Antonio,Indiana
2022-10-21,Chicago,Washington
2022-10-21,Orlando,Atlanta
2022-10-21,Toronto,Brooklyn
2022-10-21,Boston,Miami
2022-10-21,Detroit,New York
2022-10-21,Memphis,Houston
2022-10-21,Utah,Minnesota
2022-10-21,Denver,Golden State
2022-10-21,Phoenix,Portland
2022-10-22,San Antonio,Philadelphia
2022-10-22,Detroit,Indiana
2022-10-22,Boston,Orlando
2022-10-22,Cleveland,Chicago
2022-10-22,Toronto,Miami
2022-10-22,Houston,Milwaukee
2022-10-22,Memphis,Dallas
2022-10-22,Oklahoma City,Denver
2022-10-22,LA Clippers,Sacramento
2022-10-23,Portland,LA Lakers
2022-10-23,Charlotte,Atlanta
2022-10-23,Washington,Cleveland
2022-10-23,Utah,New Orleans
2022-10-23,Minnesota,Oklahoma City
2022-10-23,Sacramento,Golden State
2022-10-23,Phoenix,LA Clippers
2022-10-24,Indiana,Philadelphia
2022-10-24,Toronto,Miami
2022-10-24,Orlando,New York
2022-10-24,Boston,Chicago
2022-10-24,Utah,Houston
2022-10-24,Brooklyn,Memphis
2022-10-24,San Antonio,Minnesota
2022-10-24,Denver,Portland
2022-10-25,Detroit,Washington
2022-10-25,Dallas,New Orleans
2022-10-25,LA Clippers,Oklahoma City
2022-10-25,Golden State,Phoenix
2022-10-26,Orlando,Cleveland
2022-10-26,Atlanta,Detroit
2022-10-26,Brooklyn,Milwaukee
2022-10-26,Charlotte,New York
2022-10-26,Philadelphia,Toronto
2022-10-26,Indiana,Chicago
2022-10-26,San Antonio,Minnesota
2022-10-26,Houston,Utah
2022-10-26,LA Lakers,Denver
2022-10-26,Miami,Portland
2022-10-27,Dallas,Brooklyn
2022-10-27,LA Clippers,Oklahoma City
2022-10-27,Miami,Golden State
2022-10-27,Memphis,Sacramento
2022-10-28,Atlanta,Detroit
2022-10-28,Charlotte,Orlando
2022-10-28,Cleveland,Boston
2022-10-28,Philadelphia,Toronto
2022-10-28,Indiana,Washington
2022-10-28,New York,Milwaukee
2022-10-28,LA Lakers,Minnesota
2022-10-28,Chicago,San Antonio
2022-10-28,Utah,Denver
2022-10-28,New Orleans,Phoenix
2022-10-28,Houston,Portland
2022-10-29,Miami,Sacramento
2022-10-29,Golden State,Charlotte
2022-10-29,Indiana,Brooklyn
2022-10-29,Philadelphia,Chicago
2022-10-29,Atlanta,Milwaukee
2022-10-29,Oklahoma City,Dallas
2022-10-29,Memphis,Utah
2022-10-30,New Orleans,LA Clippers
2022-10-30,Washington,Boston
2022-10-30,New York,Cleveland
2022-10-30,Golden State,Detroit
2022-10-30,Minnesota,San Antonio
2022-10-30,Orlando,Dallas
2022-10-30,Houston,Phoenix
2022-10-30,Denver,LA Lakers
2022-10-31,Sacramento,Charlotte
2022-10-31,Philadelphia,Washington
2022-10-31,Indiana,Brooklyn
2022-10-31,Atlanta,Toronto
2022-10-31,Detroit,Milwaukee
2022-10-31,Memphis,Utah
2022-10-31,Houston,LA Clippers
2022-11-01,Chicago,Brooklyn
2022-11-01,Golden State,Miami
2022-11-01,Orlando,Oklahoma City
2022-11-01,Minnesota,Phoenix
2022-11-02,Washington,Philadelphia
2022-11-02,Boston,Cleveland
2022-11-02,Sacramento,Miami
2022-11-02,Atlanta,New York
2022-11-02,Charlotte,Chicago
2022-11-02,LA Clippers,Houston
2022-11-02,Detroit,Milwaukee
2022-11-02,Toronto,San Antonio
2022-11-02,Utah,Dallas
2022-11-02,Memphis,Portland
2022-11-02,New Orleans,LA Lakers
2022-11-03,Golden State,Orlando
2022-11-03,Denver,Oklahoma City
2022-11-04,Cleveland,Detroit
2022-11-04,Miami,Indiana
2022-11-04,New York,Philadelphia
2022-11-04,Brooklyn,Washington
2022-11-04,Chicago,Boston
2022-11-04,Charlotte,Memphis
2022-11-04,LA Clippers,San Antonio
2022-11-04,Toronto,Dallas
2022-11-04,Golden State,New Orleans
2022-11-04,Milwaukee,Minnesota
2022-11-04,Portland,Phoenix
2022-11-04,Utah,LA Lakers
2022-11-05,Sacramento,Orlando
2022-11-05,Brooklyn,Charlotte
2022-11-05,New Orleans,Atlanta
2022-11-05,Boston,New York
2022-11-05,Oklahoma City,Milwaukee
2022-11-05,Houston,Minnesota
2022-11-05,San Antonio,Denver
2022-11-05,Portland,Phoenix
2022-11-06,Cleveland,LA Lakers
2022-11-06,Washington,Memphis
2022-11-06,Chicago,Toronto
2022-11-06,Utah,LA Clippers
2022-11-07,Washington,Charlotte
2022-11-07,Houston,Orlando
2022-11-07,Oklahoma City,Detroit
2022-11-07,New Orleans,Indiana
2022-11-07,Phoenix,Philadelphia
2022-11-07,Milwaukee,Atlanta
2022-11-07,Portland,Miami
2022-11-07,Toronto,Chicago
2022-11-07,Boston,Memphis
2022-11-07,New York,Minnesota
2022-11-07,Denver,San Antonio
2022-11-07,Brooklyn,Dallas
2022-11-07,Sacramento,Golden State
2022-11-07,LA Lakers,Utah
2022-11-07,Cleveland,LA Clippers
2022-11-09,Dallas,Orlando
2022-11-09,Portland,Charlotte
2022-11-09,Denver,Indiana
2022-11-09,Utah,Atlanta
2022-11-09,Detroit,Boston
2022-11-09,New York,Brooklyn
2022-11-09,Houston,Toronto
2022-11-09,New Orleans,Chicago
2022-11-09,Phoenix,Minnesota
2022-11-09,Milwaukee,Oklahoma City
2022-11-09,Memphis,San Antonio
2022-11-09,LA Lakers,LA Clippers
2022-11-09,Cleveland,Sacramento
2022-11-10,Dallas,Washington
2022-11-10,Philadelphia,Atlanta
2022-11-10,Charlotte,Miami
2022-11-10,Portland,New Orleans
2022-11-11,Denver,Boston
2022-11-11,Phoenix,Orlando
2022-11-11,Detroit,New York
2022-11-11,Toronto,Oklahoma City
2022-11-11,Milwaukee,San Antonio
2022-11-11,Minnesota,Memphis
2022-11-11,Cleveland,Golden State
2022-11-11,Sacramento,LA Lakers
2022-11-12,Brooklyn,LA Clippers
2022-11-12,Utah,Washington
2022-11-12,Boston,Detroit
2022-11-12,Toronto,Indiana
2022-11-12,Atlanta,Philadelphia
2022-11-12,Charlotte,Miami
2022-11-12,Portland,Dallas
2022-11-12,Houston,New Orleans
2022-11-13,Oklahoma City,New York
2022-11-13,Minnesota,Cleveland
2022-11-13,Memphis,Washington
2022-11-13,Utah,Philadelphia
2022-11-13,Denver,Chicago
2022-11-13,Golden State,Sacramento
2022-11-13,Brooklyn,LA Lakers
2022-11-14,Toronto,Detroit
2022-11-14,Charlotte,Orlando
2022-11-14,Oklahoma City,Boston
2022-11-14,Phoenix,Miami
2022-11-14,LA Clippers,Houston
2022-11-14,Atlanta,Milwaukee
2022-11-14,San Antonio,Golden State
2022-11-15,Memphis,New Orleans
2022-11-15,LA Clippers,Dallas
2022-11-15,New York,Utah
2022-11-15,San Antonio,Portland
2022-11-15,Brooklyn,Sacramento
2022-11-16,Indiana,Charlotte
2022-11-16,Minnesota,Orlando
2022-11-16,Oklahoma City,Washington
2022-11-16,Boston,Atlanta
2022-11-16,Miami,Toronto
2022-11-16,Cleveland,Milwaukee
2022-11-16,Chicago,New Orleans
2022-11-16,Houston,Dallas
2022-11-16,New York,Denver
2022-11-16,Golden State,Phoenix
2022-11-17,Brooklyn,Portland
2022-11-17,San Antonio,Sacramento
2022-11-17,Detroit,LA Clippers
2022-11-18,Miami,Washington
2022-11-18,Charlotte,Cleveland
2022-11-18,Milwaukee,Philadelphia
2022-11-18,Orlando,Chicago
2022-11-18,Indiana,Houston
2022-11-18,Oklahoma City,Memphis
2022-11-18,Denver,Dallas
2022-11-18,Boston,New Orleans
2022-11-18,Phoenix,Utah
2022-11-18,New York,Golden State
2022-11-18,Detroit,LA Lakers
2022-11-19,Toronto,Atlanta
2022-11-19,Orlando,Indiana
2022-11-19,Minnesota,Philadelphia
2022-11-19,Utah,Portland
2022-11-19,San Antonio,LA Clippers
2022-11-20,New York,Phoenix
2022-11-20,Detroit,Sacramento
2022-11-20,Charlotte,Washington
2022-11-20,Memphis,Brooklyn
2022-11-20,Miami,Cleveland
2022-11-20,Golden State,Houston
2022-11-20,Denver,Dallas
2022-11-20,San Antonio,LA Lakers
2022-11-21,Atlanta,Cleveland
2022-11-21,Orlando,Indiana
2022-11-21,Boston,Chicago
2022-11-21,Portland,Milwaukee
2022-11-21,Miami,Minnesota
2022-11-21,Golden State,New Orleans
2022-11-21,New York,Oklahoma City
2022-11-21,Utah,LA Clippers
2022-11-22,Brooklyn,Philadelphia
2022-11-22,Sacramento,Memphis
2022-11-22,Detroit,Denver
2022-11-22,LA Lakers,Phoenix
2022-11-23,Philadelphia,Charlotte
2022-11-23,Portland,Cleveland
