date,winner,loser,pts_winner,pts_loser,game_id
2022-10-18,Boston,Philadelphia,126,117,202210180BOS
2022-10-18,Golden State,LA Lakers,123,109,202210180GSW
2022-10-19,Atlanta,Houston,117,107,202210190ATL
2022-10-19,New Orleans,Brooklyn,130,108,202210190BRK
2022-10-19,Detroit,Orlando,113,109,202210190DET
2022-10-19,Washington,Indiana,114,107,202210190IND
2022-10-19,Memphis,New York,115,112,202210190MEM
2022-10-19,Chicago,Miami,116,108,202210190MIA
2022-10-19,Minnesota,Oklahoma City,115,108,202210190MIN
2022-10-19,Phoenix,Dallas,107,105,202210190PHO
2022-10-19,Portland,Sacramento,115,108,202210190SAC
2022-10-19,Charlotte,San Antonio,129,102,202210190SAS
2022-10-19,Toronto,Cleveland,108,105,202210190TOR
2022-10-19,Utah,Denver,123,102,202210190UTA
2022-10-20,LA Clippers,LA Lakers,103,97,202210200LAL
2022-10-20,Milwaukee,Philadelphia,90,88,202210200PHI
2022-10-21,Atlanta,Orlando,108,98,202210210ATL
2022-10-21,Brooklyn,Toronto,109,105,202210210BRK
2022-10-21,New Orleans,Charlotte,124,112,202210210CHO
2022-10-21,Denver,Golden State,128,123,202210210GSW
2022-10-21,Memphis,Houston,129,122,202210210HOU
2022-10-21,San Antonio,Indiana,137,134,202210210IND
2022-10-21,Boston,Miami,111,104,202210210MIA
2022-10-21,Utah,Minnesota,132,126,202210210MIN
2022-10-21,New York,Detroit,130,106,202210210NYK
2022-10-21,Portland,Phoenix,113,111,202210210POR
2022-10-21,Washington,Chicago,102,100,202210210WAS
2022-10-22,Cleveland,Chicago,128,96,202210220CHI
2022-10-22,Dallas,Memphis,137,96,202210220DAL
2022-10-22,Denver,Oklahoma City,122,117,202210220DEN
2022-10-22,Indiana,Detroit,124,115,202210220IND
2022-10-22,Miami,Toronto,112,109,202210220MIA
2022-10-22,Milwaukee,Houston,125,105,202210220MIL
2022-10-22,Boston,Orlando,126,120,202210220ORL
2022-10-22,San Antonio,Philadelphia,114,105,202210220PHI
2022-10-22,LA Clippers,Sacramento,111,109,202210220SAC
2022-10-23,Charlotte,Atlanta,126,109,202210230ATL
2022-10-23,Cleveland,Washington,117,107,202210230CLE
2022-10-23,Golden State,Sacramento,130,125,202210230GSW
2022-10-23,Phoenix,LA Clippers,112,95,202210230LAC
2022-10-23,Portland,LA Lakers,106,104,202210230LAL
2022-10-23,Utah,New Orleans,122,121,202210230NOP
2022-10-23,Minnesota,Oklahoma City,116,106,202210230OKC
2022-10-24,Chicago,Boston,120,102,202210240CHI
2022-10-24,Houston,Utah,114,108,202210240HOU
2022-10-24,Memphis,Brooklyn,134,124,202210240MEM
2022-10-24,Toronto,Miami,98,90,202210240MIA
2022-10-24,San Antonio,Minnesota,115,106,202210240MIN
2022-10-24,New York,Orlando,115,102,202210240NYK
