name,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,start,win,game_id
Stephen Curry,36.0,5.0,21.0,0.238,2.0,8.0,0.25,9.0,9.0,1.0,1.0,9.0,10.0,10.0,3.0,0.0,4.0,1.0,21.0,4.0,1,1,202110190LAL
Draymond Green,29.0,2.0,5.0,0.4,0.0,0.0,,2.0,4.0,0.5,3.0,5.0,8.0,6.0,1.0,0.0,5.0,3.0,6.0,-2.0,1,1,202110190LAL
Andrew Wiggins,25.0,5.0,10.0,0.5,2.0,5.0,0.4,0.0,0.0,,1.0,6.0,7.0,1.0,1.0,0.0,2.0,3.0,12.0,-5.0,1,1,202110190LAL
Jordan Poole,25.0,8.0,18.0,0.444,4.0,11.0,0.364,0.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,2.0,2.0,20.0,2.0,1,1,202110190LAL
Kevon Looney,15.0,3.0,5.0,0.6,0.0,0.0,,1.0,2.0,0.5,2.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,7.0,-8.0,1,1,202110190LAL
Damion Lee,29.0,4.0,10.0,0.4,1.0,5.0,0.2,6.0,6.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,15.0,9.0,0,1,202110190LAL
Nemanja Bjelica,25.0,6.0,7.0,0.857,1.0,1.0,1.0,2.0,2.0,1.0,2.0,9.0,11.0,4.0,1.0,0.0,1.0,2.0,15.0,20.0,0,1,202110190LAL
Andre Iguodala,22.0,4.0,7.0,0.571,2.0,5.0,0.4,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,12.0,8.0,0,1,202110190LAL
Juan Toscano-Anderson,12.0,2.0,3.0,0.667,1.0,2.0,0.5,1.0,2.0,0.5,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,6.0,7.0,0,1,202110190LAL
Otto Porter Jr.,11.0,1.0,3.0,0.333,1.0,2.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,5.0,1.0,0,1,202110190LAL
Moses Moody,5.0,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,0,1,202110190LAL
Gary Payton II,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,202110190LAL
Anthony Davis,38.0,15.0,26.0,0.577,1.0,5.0,0.2,2.0,7.0,0.286,2.0,9.0,11.0,2.0,1.0,2.0,0.0,0.0,33.0,-2.0,1,0,202110190LAL
LeBron James,36.0,13.0,23.0,0.565,5.0,11.0,0.455,3.0,6.0,0.5,1.0,10.0,11.0,5.0,1.0,1.0,4.0,5.0,34.0,-2.0,1,0,202110190LAL
Russell Westbrook,35.0,4.0,13.0,0.308,0.0,4.0,0.0,0.0,0.0,,1.0,4.0,5.0,4.0,0.0,0.0,4.0,4.0,8.0,-23.0,1,0,202110190LAL
Kent Bazemore,30.0,3.0,9.0,0.333,2.0,8.0,0.25,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,8.0,10.0,1,0,202110190LAL
DeAndre Jordan,12.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,2.0,2.0,1,0,202110190LAL
Carmelo Anthony,26.0,3.0,9.0,0.333,2.0,4.0,0.5,1.0,2.0,0.5,0.0,4.0,4.0,2.0,0.0,0.0,1.0,2.0,9.0,-5.0,0,0,202110190LAL
Rajon Rondo,19.0,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,0.0,5.0,2.0,0.0,3.0,2.0,3.0,1.0,0,0,202110190LAL
Malik Monk,18.0,2.0,5.0,0.4,2.0,4.0,0.5,0.0,0.0,,0.0,3.0,3.0,1.0,2.0,0.0,1.0,1.0,6.0,-10.0,0,0,202110190LAL
Dwight Howard,12.0,1.0,2.0,0.5,0.0,0.0,,3.0,4.0,0.75,0.0,6.0,6.0,0.0,0.0,0.0,2.0,2.0,5.0,-7.0,0,0,202110190LAL
Avery Bradley,8.0,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,6.0,1.0,0,0,202110190LAL
Austin Reaves,,,,,,,,,,,,,,,,,,,,,0,0,202110190LAL
Sekou Doumbouya,,,,,,,,,,,,,,,,,,,,,0,0,202110190LAL
Joe Harris,30.0,3.0,9.0,0.333,3.0,5.0,0.6,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,9.0,0.0,1,0,202110190MIL
James Harden,30.0,6.0,16.0,0.375,4.0,8.0,0.5,4.0,4.0,1.0,3.0,5.0,8.0,8.0,1.0,2.0,4.0,3.0,20.0,-20.0,1,0,202110190MIL
Kevin Durant,30.0,13.0,25.0,0.52,3.0,7.0,0.429,3.0,6.0,0.5,0.0,11.0,11.0,4.0,0.0,2.0,1.0,2.0,32.0,-20.0,1,0,202110190MIL
Nic Claxton,24.0,6.0,9.0,0.667,0.0,0.0,,0.0,3.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,3.0,12.0,-15.0,1,0,202110190MIL
Blake Griffin,22.0,2.0,5.0,0.4,0.0,1.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,0.0,1.0,0.0,1.0,1.0,6.0,-6.0,1,0,202110190MIL
Patty Mills,29.0,7.0,11.0,0.636,7.0,7.0,1.0,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,21.0,7.0,0,0,202110190MIL
James Johnson,20.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,-6.0,0,0,202110190MIL
Jevon Carter,18.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,-29.0,0,0,202110190MIL
