name,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-,start,win,game_id
Julius Randle,34.0,5.0,10.0,0.5,1.0,3.0,0.333,5.0,7.0,0.714,3.0,6.0,9.0,4.0,0.0,0.0,2.0,3.0,16.0,13.7,2.0,1,0,202410220LAL
Jaden McDaniels,16.0,3.0,8.0,0.375,0.0,3.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,1.0,5.0,6.0,0.9,-8.0,1,0,202410220LAL
Rob Dillingham,,,,,,,,,,,,,,,,,,,,,,0,0,202410220LAL
Mike Conley,20.0,1.0,7.0,0.143,0.0,5.0,0.0,3.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,0.0,3.0,1.0,5.0,1.5,-22.0,1,0,202410220LAL
Nickeil Alexander-Walker,28.0,5.0,7.0,0.714,3.0,4.0,0.75,1.0,2.0,0.5,2.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,14.0,11.0,13.0,0,0,202410220LAL
Rui Hachimura,35.0,7.0,14.0,0.5,1.0,4.0,0.25,3.0,4.0,0.75,3.0,2.0,5.0,1.0,2.0,1.0,0.0,2.0,18.0,15.9,19.0,1,1,202410220LAL
Max Christie,11.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,-1.1,-5.0,0,1,202410220LAL
Gabe Vincent,17.0,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,0.6,-2.0,0,1,202410220LAL
Bronny James,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-5.0,0,1,202410220LAL
Austin Reaves,36.0,6.0,14.0,0.429,0.0,5.0,0.0,0.0,1.0,0.0,4.0,5.0,9.0,4.0,1.0,1.0,0.0,4.0,12.0,11.4,12.0,1,1,202410220LAL
Jalen Hood-Schifino,,,,,,,,,,,,,,,,,,,,,,0,1,202410220LAL
D'Angelo Russell,34.0,4.0,12.0,0.333,1.0,7.0,0.143,0.0,0.0,,0.0,1.0,1.0,5.0,2.0,0.0,1.0,2.0,9.0,6.2,15.0,1,1,202410220LAL
Terrence Shannon Jr.,,,,,,,,,,,,,,,,,,,,,,0,0,202410220LAL
Anthony Davis,37.0,11.0,23.0,0.478,1.0,3.0,0.333,13.0,15.0,0.867,3.0,13.0,16.0,4.0,1.0,3.0,1.0,1.0,36.0,34.0,1.0,1,1,202410220LAL
Dalton Knecht,15.0,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,5.0,4.3,7.0,0,1,202410220LAL
Maxwell Lewis,,,,,,,,,,,,,,,,,,,,,,0,1,202410220LAL
Jaxson Hayes,15.0,4.0,5.0,0.8,0.0,0.0,,2.0,2.0,1.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,10.0,10.0,-1.0,0,1,202410220LAL
Cam Reddish,,,,,,,,,,,,,,,,,,,,,,0,1,202410220LAL
LeBron James,34.0,7.0,16.0,0.438,1.0,4.0,0.25,1.0,1.0,1.0,0.0,5.0,5.0,4.0,0.0,2.0,2.0,3.0,16.0,10.1,-6.0,1,1,202410220LAL
Nic Claxton,15.0,3.0,4.0,0.75,0.0,0.0,,1.0,4.0,0.25,0.0,5.0,5.0,0.0,1.0,1.0,0.0,3.0,7.0,6.2,7.0,0,0,202410230ATL
Dariq Whitehead,,,,,,,,,,,,,,,,,,,,,,0,0,202410230ATL
Keon Johnson,,,,,,,,,,,,,,,,,,,,,,0,0,202410230ATL
De'Andre Hunter,25.0,3.0,10.0,0.3,2.0,4.0,0.5,4.0,5.0,0.8,1.0,5.0,6.0,1.0,2.0,0.0,0.0,5.0,12.0,8.7,10.0,1,1,202410230ATL
Keaton Wallace,,,,,,,,,,,,,,,,,,,,,,0,1,202410230ATL
Jalen Wilson,33.0,3.0,7.0,0.429,2.0,5.0,0.4,8.0,8.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,5.0,16.0,11.6,4.0,0,0,202410230ATL
Noah Clowney,14.0,2.0,6.0,0.333,1.0,3.0,0.333,2.0,2.0,1.0,3.0,3.0,6.0,0.0,1.0,1.0,1.0,1.0,7.0,6.9,-10.0,0,0,202410230ATL
Dennis Schröder,34.0,5.0,16.0,0.313,2.0,6.0,0.333,1.0,2.0,0.5,0.0,3.0,3.0,7.0,1.0,0.0,5.0,4.0,13.0,3.6,-4.0,1,0,202410230ATL
Shake Milton,6.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,8.0,0,0,202410230ATL
Garrison Mathews,,,,,,,,,,,,,,,,,,,,,,0,1,202410230ATL
Dyson Daniels,34.0,6.0,12.0,0.5,2.0,4.0,0.5,1.0,4.0,0.25,3.0,2.0,5.0,2.0,5.0,1.0,1.0,4.0,15.0,15.0,7.0,1,1,202410230ATL
Bogdan Bogdanović,27.0,2.0,6.0,0.333,2.0,6.0,0.333,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,3.0,8.0,4.8,-3.0,0,1,202410230ATL
Ben Simmons,24.0,3.0,4.0,0.75,0.0,0.0,,0.0,0.0,,2.0,3.0,5.0,8.0,0.0,1.0,6.0,5.0,6.0,5.0,-8.0,1,0,202410230ATL
Dorian Finney-Smith,29.0,3.0,10.0,0.3,2.0,7.0,0.286,0.0,0.0,,3.0,5.0,8.0,1.0,1.0,2.0,1.0,5.0,8.0,5.9,-4.0,1,0,202410230ATL
Cameron Johnson,32.0,4.0,10.0,0.4,1.0,6.0,0.167,5.0,6.0,0.833,0.0,4.0,4.0,0.0,1.0,1.0,0.0,3.0,14.0,9.9,-10.0,1,0,202410230ATL
Trae Young,36.0,7.0,16.0,0.438,2.0,6.0,0.333,14.0,16.0,0.875,1.0,4.0,5.0,12.0,1.0,1.0,3.0,1.0,30.0,29.4,12.0,1,1,202410230ATL
Vit Krejci,11.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,3.3,-8.0,0,1,202410230ATL
Mouhamed Gueye,,,,,,,,,,,,,,,,,,,,,,0,1,202410230ATL
Onyeka Okongwu,28.0,11.0,12.0,0.917,0.0,0.0,,6.0,6.0,1.0,4.0,4.0,8.0,1.0,0.0,3.0,2.0,1.0,28.0,28.4,4.0,0,1,202410230ATL
Cam Thomas,33.0,14.0,27.0,0.519,7.0,13.0,0.538,1.0,1.0,1.0,2.0,3.0,5.0,3.0,3.0,0.0,2.0,4.0,36.0,26.5,-8.0,1,0,202410230ATL
Jaylen Martin,,,,,,,,,,,,,,,,,,,,,,0,0,202410230ATL
Zaccharie Risacher,19.0,2.0,8.0,0.25,1.0,4.0,0.25,2.0,4.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,7.0,0.3,1.0,0,1,202410230ATL
Clint Capela,19.0,3.0,5.0,0.6,0.0,0.0,,0.0,0.0,,1.0,6.0,7.0,1.0,1.0,1.0,1.0,0.0,6.0,7.6,0.0,1,1,202410230ATL
Tyrese Martin,,,,,,,,,,,,,,,,,,,,,,0,0,202410230ATL
Ziaire Williams,15.0,3.0,6.0,0.5,2.0,3.0,0.667,1.0,2.0,0.5,1.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,9.0,5.8,5.0,0,0,202410230ATL
Yongxi Cui,,,,,,,,,,,,,,,,,,,,,,0,0,202410230ATL
David Roddy,,,,,,,,,,,,,,,,,,,,,,0,1,202410230ATL
Jalen Johnson,36.0,4.0,9.0,0.444,0.0,3.0,0.0,3.0,8.0,0.375,1.0,9.0,10.0,4.0,3.0,1.0,6.0,3.0,11.0,7.0,-3.0,1,1,202410230ATL
Larry Nance Jr.,,,,,,,,,,,,,,,,,,,,,,0,1,202410230ATL
Andrew Nembhard,34.0,3.0,8.0,0.375,0.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,7.0,1.0,0.0,2.0,3.0,8.0,6.9,6.0,1,1,202410230DET
James Johnson,,,,,,,,,,,,,,,,,,,,,,0,1,202410230DET
James Wiseman,4.0,2.0,4.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,4.3,-4.0,0,1,202410230DET
Bennedict Mathurin,27.0,5.0,8.0,0.625,2.0,3.0,0.667,7.0,9.0,0.778,1.0,5.0,6.0,1.0,0.0,0.0,3.0,3.0,19.0,13.3,8.0,0,1,202410230DET
Ben Sheppard,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.5,1.0,0,1,202410230DET
Quenton Jackson,,,,,,,,,,,,,,,,,,,,,,0,1,202410230DET
