name_short,initial_rating
X. Tillman,6.0
V. Krejci,4.0
D. Smith,4.5
O. Ighodaro,5.0
D. Jones,7.5
P. Mills,5.1
I. Quickley,9.6
M. Kleber,5.5
T. Thompson,4.0
P. Larsson,5.0
C. Whitmore,7.0
C. Anthony,8.0
L. Travers,4.0
S. Milton,5.5
A. Jackson Jr.,4.0
A. Holiday,5.0
J. Walsh,4.0
R. Council IV,5.5
J. Ingles,5.0
M. Sasser,6.0
P. Reed,6.5
B. Bogdanovic,9.5
J. Hardy,6.0
A. Flagler,4.0
S. Mamukelashvili,4.6
B. Miller,11.0
A. Hukporti,5.0
T. Kolek,5.0
T. Smith,6.5
Q. Jackson,4.0
J. Walter,5.0
A. Bona,4.0
J. Tyson,7.0
G. Santos,4.0
C. Joseph,5.0
R. Rollins,4.0
G. Temple,4.0
C. Bassey,4.0
K. Matkovic,4.1
E. Freeman,6.5
N. Williams,4.0
J. Wiseman,7.0
D. Powell,6.0
V. Micic,7.5
D. Robinson,7.0
S. Mykhailiuk,4.0
A. Sanogo,4.5
B. James,5.0
J. Toppin,4.0
A. Reese,4.0
D. Reath,5.0
P. Dadiet,4.5
R. Beekman,4.0
P. Spencer,4.0
J. Martin,4.0
W. Moore Jr.,4.5
C. Duarte,5.5
H. Tyson,4.0
U. Chomche,4.6
M. Buzelis,7.5
D. Carton,4.0
J. Tate,5.0
B. Hyland,5.5
S. Cissoko,4.0
K. Brown,4.0
A. Gill,4.5
L. Nance Jr.,8.5
D. Saric,5.5
C. Porter Jr.,5.0
T. Horton-Tucker,7.0
D. McDermott,5.0
L. Quinones,4.0
G. Bitadze,5.5
J. Cain,4.0
T. Craig,5.5
R. Jackson,5.0
T. Alexander,4.0
M. Gueye,4.0
V. Cancar,4.0
K. Ware,7.5
A. Johnson,5.5
Y. Kawamura,5.0
C. Houstan,4.5
C. Jones,4.0
J. Davison,4.0
B. Scheierman,6.5
O. Prosper,4.5
K. Edwards,4.0
C. Yongxi,4.0
L. Robbins,4.0
B. Williams,4.0
J. McLaughlin,6.5
D. Peterson,4.0
J. Dowtin,4.5
J. Pickett,4.0
R. Holmes,7.0
Z. Nnaji,5.0
J. Richardson,5.5
J. Springer,4.0
J. Miller,4.0
J. Gortman,4.0
C. Reddish,6.0
M. Beauchamp,5.5
D. Whitehead,4.0
D. Jenkins,4.0
A. Ducas,4.4
J. Furphy,5.5
A. Reeves,6.0
