date,team_visitor,team_home
2024-10-22,New York,Boston
2024-10-22,Minnesota,LA Lakers
2024-10-23,Golden State,Portland
2024-10-23,Memphis,Utah
2024-10-23,Chicago,New Orleans
2024-10-23,Charlotte,Houston
2024-10-23,Phoenix,LA Clippers
2024-10-23,Milwaukee,Philadelphia
2024-10-23,Orlando,Miami
2024-10-23,Brooklyn,Atlanta
2024-10-23,Indiana,Detroit
2024-10-23,Cleveland,Toronto
2024-10-24,Boston,Washington
2024-10-24,San Antonio,Dallas
2024-10-24,Minnesota,Sacramento
2024-10-24,Oklahoma City,Denver
2024-10-25,Chicago,Milwaukee
2024-10-25,New Orleans,Portland
2024-10-25,Phoenix,LA Lakers
2024-10-25,Golden State,Utah
2024-10-25,Memphis,Houston
2024-10-25,Charlotte,Atlanta
2024-10-25,Detroit,Cleveland
2024-10-25,Philadelphia,Toronto
2024-10-25,Brooklyn,Orlando
2024-10-25,Indiana,New York
2024-10-26,LA Clippers,Denver
2024-10-26,Cleveland,Washington
2024-10-26,Boston,Detroit
2024-10-26,Miami,Charlotte
2024-10-26,Orlando,Memphis
2024-10-26,Toronto,Minnesota
2024-10-26,Oklahoma City,Chicago
2024-10-26,Houston,San Antonio
2024-10-26,Dallas,Phoenix
2024-10-26,Sacramento,LA Lakers
2024-10-27,LA Clippers,Golden State
2024-10-27,Atlanta,Oklahoma City
2024-10-27,New Orleans,Portland
2024-10-27,Philadelphia,Indiana
2024-10-27,Milwaukee,Brooklyn
2024-10-28,Utah,Dallas
2024-10-28,Indiana,Orlando
2024-10-28,Washington,Atlanta
2024-10-28,Milwaukee,Boston
2024-10-28,Denver,Toronto
2024-10-28,Detroit,Miami
2024-10-28,Cleveland,New York
2024-10-28,Houston,San Antonio
2024-10-28,Chicago,Memphis
2024-10-28,Portland,Sacramento
2024-10-28,LA Lakers,Phoenix
2024-10-29,Sacramento,Utah
2024-10-29,New Orleans,Golden State
2024-10-29,Denver,Brooklyn
2024-10-29,Dallas,Minnesota
2024-10-30,Portland,LA Clippers
2024-10-30,Brooklyn,Memphis
2024-10-30,New Orleans,Golden State
2024-10-30,San Antonio,Oklahoma City
2024-10-30,Orlando,Chicago
2024-10-30,Detroit,Philadelphia
2024-10-30,Toronto,Charlotte
2024-10-30,LA Lakers,Cleveland
2024-10-30,Boston,Indiana
2024-10-30,Atlanta,Washington
2024-10-30,New York,Miami
2024-10-31,Phoenix,LA Clippers
2024-10-31,Milwaukee,Memphis
2024-10-31,Houston,Dallas
2024-10-31,San Antonio,Utah
2024-11-01,Denver,Minnesota
2024-11-01,Indiana,New Orleans
2024-11-01,Oklahoma City,Portland
2024-11-01,LA Lakers,Toronto
2024-11-01,Orlando,Cleveland
2024-11-01,Sacramento,Atlanta
2024-11-01,New York,Detroit
2024-11-01,Chicago,Brooklyn
2024-11-01,Boston,Charlotte
2024-11-02,Oklahoma City,LA Clippers
2024-11-02,Portland,Phoenix
2024-11-02,Miami,Washington
2024-11-02,Minnesota,San Antonio
2024-11-02,Utah,Denver
2024-11-02,Golden State,Houston
