date,team_visitor,team_home
2023-10-24,LA Lakers,Denver
2023-10-24,Phoenix,Golden State
2023-10-25,Houston,Orlando
2023-10-25,Boston,New York
2023-10-25,Washington,Indiana
2023-10-25,Atlanta,Charlotte
2023-10-25,Detroit,Miami
2023-10-25,Minnesota,Toronto
2023-10-25,Cleveland,Brooklyn
2023-10-25,New Orleans,Memphis
2023-10-25,Oklahoma City,Chicago
2023-10-25,Sacramento,Utah
2023-10-25,Dallas,San Antonio
2023-10-25,Portland,LA Clippers
2023-10-26,Philadelphia,Milwaukee
2023-10-26,Phoenix,LA Lakers
2023-10-27,Denver,Memphis
2023-10-27,Detroit,Charlotte
2023-10-27,New York,Atlanta
2023-10-27,Oklahoma City,Cleveland
2023-10-27,Miami,Boston
2023-10-27,Toronto,Chicago
2023-10-27,Houston,San Antonio
2023-10-27,Brooklyn,Dallas
2023-10-27,LA Clippers,Utah
2023-10-27,Orlando,Portland
2023-10-27,Golden State,Sacramento
2023-10-28,Chicago,Detroit
2023-10-28,Memphis,Washington
2023-10-28,New York,New Orleans
2023-10-28,Indiana,Cleveland
2023-10-28,Philadelphia,Toronto
2023-10-28,Miami,Minnesota
2023-10-28,Utah,Phoenix
2023-10-29,Denver,Oklahoma City
2023-10-29,Golden State,Houston
2023-10-29,Atlanta,Milwaukee
2023-10-29,Portland,Philadelphia
2023-10-29,San Antonio,LA Clippers
2023-10-29,LA Lakers,Sacramento
2023-10-30,Chicago,Indiana
2023-10-30,Boston,Washington
2023-10-30,Brooklyn,Charlotte
2023-10-30,Portland,Toronto
2023-10-30,Minnesota,Atlanta
2023-10-30,Dallas,Memphis
2023-10-30,Miami,Milwaukee
2023-10-30,Golden State,New Orleans
2023-10-30,Detroit,Oklahoma City
2023-10-30,Utah,Denver
2023-10-30,Orlando,LA Lakers
2023-10-31,New York,Cleveland
2023-10-31,San Antonio,Phoenix
2023-10-31,Orlando,LA Clippers
2023-11-01,Portland,Detroit
2023-11-01,Milwaukee,Toronto
2023-11-01,Washington,Atlanta
2023-11-01,Indiana,Boston
2023-11-01,Brooklyn,Miami
2023-11-01,Cleveland,New York
2023-11-01,New Orleans,Oklahoma City
2023-11-01,Charlotte,Houston
2023-11-01,Denver,Minnesota
2023-11-01,Chicago,Dallas
2023-11-01,Memphis,Utah
2023-11-01,Sacramento,Golden State
2023-11-01,LA Clippers,LA Lakers
2023-11-02,Toronto,Philadelphia
2023-11-02,Detroit,New Orleans
2023-11-02,Orlando,Utah
2023-11-02,San Antonio,Phoenix
2023-11-03,Cleveland,Indiana
2023-11-03,New York,Milwaukee
2023-11-03,Brooklyn,Chicago
2023-11-03,Washington,Miami
2023-11-03,Golden State,Oklahoma City
2023-11-03,Dallas,Denver
2023-11-03,Memphis,Portland
2023-11-04,Phoenix,Philadelphia
2023-11-04,Charlotte,Indiana
2023-11-04,Atlanta,New Orleans
2023-11-04,LA Lakers,Orlando
2023-11-04,Boston,Brooklyn
2023-11-04,Sacramento,Houston
