date,winner,loser,pts_winner,pts_loser,game_id
2023-10-24,Denver,LA Lakers,119,107,202310240DEN
2023-10-24,Phoenix,Golden State,108,104,202310240GSW
2023-10-25,Cleveland,Brooklyn,114,113,202310250BRK
2023-10-25,Oklahoma City,Chicago,124,104,202310250CHI
2023-10-25,Charlotte,Atlanta,116,110,202310250CHO
2023-10-25,Indiana,Washington,143,120,202310250IND
2023-10-25,LA Clippers,Portland,123,111,202310250LAC
2023-10-25,New Orleans,Memphis,111,104,202310250MEM
2023-10-25,Miami,Detroit,103,102,202310250MIA
2023-10-25,Boston,New York,108,104,202310250NYK
2023-10-25,Orlando,Houston,116,86,202310250ORL
2023-10-25,Dallas,San Antonio,126,119,202310250SAS
2023-10-25,Toronto,Minnesota,97,94,202310250TOR
2023-10-25,Sacramento,Utah,130,114,202310250UTA
2023-10-26,LA Lakers,Phoenix,100,95,202310260LAL
2023-10-26,Milwaukee,Philadelphia,118,117,202310260MIL
2023-10-27,New York,Atlanta,126,120,202310270ATL
2023-10-27,Boston,Miami,119,111,202310270BOS
2023-10-27,Chicago,Toronto,104,103,202310270CHI
2023-10-27,Detroit,Charlotte,111,99,202310270CHO
2023-10-27,Oklahoma City,Cleveland,108,105,202310270CLE
2023-10-27,Dallas,Brooklyn,125,120,202310270DAL
2023-10-27,Denver,Memphis,108,104,202310270MEM
2023-10-27,Orlando,Portland,102,97,202310270POR
2023-10-27,Golden State,Sacramento,122,114,202310270SAC
2023-10-27,San Antonio,Houston,126,122,202310270SAS
2023-10-27,Utah,LA Clippers,120,118,202310270UTA
2023-10-28,Indiana,Cleveland,125,113,202310280CLE
2023-10-28,Detroit,Chicago,118,102,202310280DET
2023-10-28,Minnesota,Miami,106,90,202310280MIN
2023-10-28,New Orleans,New York,96,87,202310280NOP
2023-10-28,Phoenix,Utah,126,104,202310280PHO
2023-10-28,Philadelphia,Toronto,114,107,202310280TOR
2023-10-28,Washington,Memphis,113,106,202310280WAS
2023-10-29,Golden State,Houston,106,95,202310290HOU
2023-10-29,LA Clippers,San Antonio,123,83,202310290LAC
2023-10-29,Atlanta,Milwaukee,127,110,202310290MIL
2023-10-29,Denver,Oklahoma City,128,95,202310290OKC
2023-10-29,Philadelphia,Portland,126,98,202310290PHI
2023-10-29,Sacramento,LA Lakers,132,127,202310290SAC
2023-10-30,Atlanta,Minnesota,127,113,202310300ATL
2023-10-30,Brooklyn,Charlotte,133,121,202310300CHO
2023-10-30,Denver,Utah,110,102,202310300DEN
2023-10-30,Chicago,Indiana,112,105,202310300IND
2023-10-30,LA Lakers,Orlando,106,103,202310300LAL
2023-10-30,Dallas,Memphis,125,110,202310300MEM
2023-10-30,Milwaukee,Miami,122,114,202310300MIL
2023-10-30,Golden State,New Orleans,130,102,202310300NOP
2023-10-30,Oklahoma City,Detroit,124,112,202310300OKC
2023-10-30,Portland,Toronto,99,91,202310300TOR
2023-10-30,Boston,Washington,126,107,202310300WAS
2023-10-31,New York,Cleveland,109,91,202310310CLE
2023-10-31,LA Clippers,Orlando,118,102,202310310LAC
2023-10-31,San Antonio,Phoenix,115,114,202310310PHO
2023-11-01,Atlanta,Washington,130,121,202311010ATL
2023-11-01,Boston,Indiana,155,104,202311010BOS
2023-11-01,Dallas,Chicago,114,105,202311010DAL
2023-11-01,Portland,Detroit,110,101,202311010DET
2023-11-01,Golden State,Sacramento,102,101,202311010GSW
2023-11-01,Houston,Charlotte,128,119,202311010HOU
2023-11-01,LA Lakers,LA Clippers,130,125,202311010LAL
2023-11-01,Brooklyn,Miami,109,105,202311010MIA
2023-11-01,Minnesota,Denver,110,89,202311010MIN
2023-11-01,Cleveland,New York,95,89,202311010NYK
2023-11-01,New Orleans,Oklahoma City,110,106,202311010OKC
2023-11-01,Toronto,Milwaukee,130,111,202311010TOR
2023-11-01,Utah,Memphis,133,109,202311010UTA
2023-11-02,New Orleans,Detroit,125,116,202311020NOP
2023-11-02,Philadelphia,Toronto,114,99,202311020PHI
2023-11-02,San Antonio,Phoenix,132,121,202311020PHO
2023-11-02,Orlando,Utah,115,113,202311020UTA
2023-11-03,Brooklyn,Chicago,109,107,202311030CHI
2023-11-03,Denver,Dallas,125,114,202311030DEN
2023-11-03,Indiana,Cleveland,121,116,202311030IND
2023-11-03,Miami,Washington,121,114,202311030MIA
2023-11-03,Milwaukee,New York,110,105,202311030MIL
2023-11-03,Golden State,Oklahoma City,141,139,202311030OKC
2023-11-03,Portland,Memphis,115,113,202311030POR
2023-11-04,Boston,Brooklyn,124,114,202311040BRK
2023-11-04,Denver,Chicago,123,101,202311040DEN
2023-11-04,Houston,Sacramento,107,89,202311040HOU
2023-11-04,Charlotte,Indiana,125,124,202311040IND
2023-11-04,Minnesota,Utah,123,95,202311040MIN
2023-11-04,Atlanta,New Orleans,123,105,202311040NOP
2023-11-04,Orlando,LA Lakers,120,101,202311040ORL
