date,winner,loser,pts_winner,pts_loser,game_id
2023-11-04,Philadelphia,Phoenix,112,100,202311040PHI
2023-11-05,Cleveland,Golden State,115,104,202311050CLE
2023-11-05,Dallas,Charlotte,124,118,202311050DAL
2023-11-05,Phoenix,Detroit,120,106,202311050DET
2023-11-05,Memphis,Portland,112,100,202311050POR
2023-11-05,Toronto,San Antonio,123,116,202311050SAS
2023-11-06,Milwaukee,Brooklyn,129,125,202311060BRK
2023-11-06,Chicago,Utah,130,113,202311060CHI
2023-11-06,Denver,New Orleans,134,116,202311060DEN
2023-11-06,Golden State,Detroit,120,109,202311060DET
2023-11-06,Houston,Sacramento,122,97,202311060HOU
2023-11-06,Indiana,San Antonio,152,111,202311060IND
2023-11-06,Miami,LA Lakers,108,107,202311060MIA
2023-11-06,Minnesota,Boston,114,109,202311060MIN
2023-11-06,New York,LA Clippers,111,97,202311060NYK
2023-11-06,Oklahoma City,Atlanta,126,117,202311060OKC
2023-11-06,Dallas,Orlando,117,102,202311060ORL
2023-11-06,Philadelphia,Washington,146,128,202311060PHI
2023-11-08,Brooklyn,LA Clippers,100,93,202311080BRK
2023-11-08,Phoenix,Chicago,116,115,202311080CHI
2023-11-08,Washington,Charlotte,132,116,202311080CHO
2023-11-08,Toronto,Dallas,127,116,202311080DAL
2023-11-08,Denver,Golden State,108,105,202311080DEN
2023-11-08,Houston,LA Lakers,128,94,202311080HOU
2023-11-08,Indiana,Utah,134,118,202311080IND
2023-11-08,Miami,Memphis,108,102,202311080MEM
2023-11-08,Milwaukee,Detroit,120,118,202311080MIL
2023-11-08,Minnesota,New Orleans,122,101,202311080MIN
2023-11-08,New York,San Antonio,126,105,202311080NYK
2023-11-08,Oklahoma City,Cleveland,128,120,202311080OKC
2023-11-08,Philadelphia,Boston,106,103,202311080PHI
2023-11-08,Sacramento,Portland,121,118,202311080SAC
2023-11-09,Indiana,Milwaukee,126,124,202311090IND
2023-11-09,Atlanta,Orlando,120,119,202311090ORL
2023-11-10,Boston,Brooklyn,121,107,202311100BOS
2023-11-10,Dallas,LA Clippers,144,126,202311100DAL
2023-11-10,Philadelphia,Detroit,114,106,202311100DET
2023-11-10,Houston,New Orleans,104,101,202311100HOU
2023-11-10,Utah,Memphis,127,121,202311100MEM
2023-11-10,LA Lakers,Phoenix,122,119,202311100PHO
2023-11-10,Sacramento,Oklahoma City,105,98,202311100SAC
2023-11-10,Minnesota,San Antonio,117,110,202311100SAS
2023-11-10,Charlotte,Washington,124,117,202311100WAS
2023-11-11,Miami,Atlanta,117,109,202311110ATL
2023-11-11,Boston,Toronto,117,94,202311110BOS
2023-11-11,Cleveland,Golden State,118,110,202311110GSW
2023-11-11,Orlando,Milwaukee,112,97,202311110ORL
2023-11-12,Brooklyn,Washington,102,94,202311120BRK
2023-11-12,Chicago,Detroit,119,108,202311120CHI
2023-11-12,Minnesota,Golden State,116,110,202311120GSW
2023-11-12,Houston,Denver,107,104,202311120HOU
2023-11-12,Memphis,LA Clippers,105,101,202311120LAC
2023-11-12,LA Lakers,Portland,116,110,202311120LAL
2023-11-12,Dallas,New Orleans,136,124,202311120NOP
2023-11-12,New York,Charlotte,129,107,202311120NYK
2023-11-12,Philadelphia,Indiana,137,126,202311120PHI
2023-11-12,Oklahoma City,Phoenix,111,99,202311120PHO
2023-11-12,Miami,San Antonio,118,113,202311120SAS
2023-11-13,Boston,New York,114,98,202311130BOS
2023-11-13,Milwaukee,Chicago,118,109,202311130MIL
2023-11-13,Sacramento,Cleveland,132,120,202311130SAC
2023-11-13,Toronto,Washington,111,107,202311130TOR
2023-11-14,Brooklyn,Orlando,124,104,202311140BRK
2023-11-14,Miami,Charlotte,111,105,202311140CHO
2023-11-14,Denver,LA Clippers,111,108,202311140DEN
2023-11-14,Atlanta,Detroit,126,120,202311140DET
2023-11-14,Minnesota,Golden State,104,101,202311140GSW
2023-11-14,LA Lakers,Memphis,134,107,202311140LAL
2023-11-14,New Orleans,Dallas,131,110,202311140NOP
2023-11-14,Oklahoma City,San Antonio,123,87,202311140OKC
2023-11-14,Indiana,Philadelphia,132,126,202311140PHI
2023-11-14,Utah,Portland,115,99,202311140UTA
2023-11-15,New York,Atlanta,116,114,202311150ATL
2023-11-15,Orlando,Chicago,96,94,202311150CHI
2023-11-15,Sacramento,LA Lakers,125,110,202311150LAL
2023-11-15,Boston,Philadelphia,117,107,202311150PHI
2023-11-15,Phoenix,Minnesota,133,115,202311150PHO
2023-11-15,Cleveland,Portland,109,95,202311150POR
2023-11-15,Milwaukee,Toronto,128,112,202311150TOR
2023-11-15,Dallas,Washington,130,117,202311150WAS
2023-11-16,Oklahoma City,Golden State,128,109,202311160GSW
2023-11-16,Miami,Brooklyn,122,115,202311160MIA
2023-11-17,Philadelphia,Atlanta,126,116,202311170ATL
2023-11-17,Orlando,Chicago,103,97,202311170CHI
2023-11-17,Milwaukee,Charlotte,130,99,202311170CHO
2023-11-17,Cleveland,Detroit,108,100,202311170CLE
2023-11-17,LA Clippers,Houston,106,100,202311170LAC
2023-11-17,New Orleans,Denver,115,110,202311170NOP
2023-11-17,LA Lakers,Portland,107,95,202311170POR
2023-11-17,Sacramento,San Antonio,129,120,202311170SAS
2023-11-17,Boston,Toronto,108,105,202311170TOR
2023-11-17,Phoenix,Utah,131,128,202311170UTA
2023-11-17,New York,Washington,120,99,202311170WAS
2023-11-18,Chicago,Miami,102,97,202311180CHI
2023-11-18,New York,Charlotte,122,108,202311180CHO
2023-11-18,Oklahoma City,Golden State,130,123,202311180GSW
2023-11-18,Milwaukee,Dallas,132,125,202311180MIL
2023-11-18,Minnesota,New Orleans,121,120,202311180NOP
2023-11-18,Memphis,San Antonio,120,108,202311180SAS
2023-11-19,Philadelphia,Brooklyn,121,99,202311190BRK
2023-11-19,Cleveland,Denver,121,109,202311190CLE
2023-11-19,Sacramento,Dallas,129,113,202311190DAL
2023-11-19,Orlando,Indiana,128,116,202311190IND
2023-11-19,LA Lakers,Houston,105,104,202311190LAL
2023-11-19,Boston,Memphis,102,100,202311190MEM
2023-11-19,Oklahoma City,Portland,134,91,202311190POR
2023-11-19,Toronto,Detroit,142,113,202311190TOR
2023-11-19,Phoenix,Utah,140,137,202311190UTA
2023-11-20,Miami,Chicago,118,100,202311200CHI
2023-11-20,Charlotte,Boston,121,118,202311200CHO
2023-11-20,Denver,Detroit,107,103,202311200DET
2023-11-20,Golden State,Houston,121,116,202311200GSW
2023-11-20,Minnesota,New York,117,100,202311200MIN
2023-11-20,New Orleans,Sacramento,129,93,202311200NOP
2023-11-20,LA Clippers,San Antonio,124,99,202311200SAS
2023-11-20,Milwaukee,Washington,142,129,202311200WAS
2023-11-21,Indiana,Atlanta,157,152,202311210ATL
2023-11-21,LA Lakers,Utah,131,99,202311210LAL
2023-11-21,Orlando,Toronto,126,107,202311210ORL
2023-11-21,Cleveland,Philadelphia,122,119,202311210PHI
2023-11-21,Phoenix,Portland,120,107,202311210PHO
2023-11-22,Atlanta,Brooklyn,147,145,202311220ATL
2023-11-22,Boston,Milwaukee,119,116,202311220BOS
2023-11-22,Charlotte,Washington,117,114,202311220CHO
2023-11-22,Miami,Cleveland,129,96,202311220CLE
2023-11-22,Houston,Memphis,111,91,202311220HOU
2023-11-22,Toronto,Indiana,132,131,202311220IND
2023-11-22,Dallas,LA Lakers,104,101,202311220LAL
2023-11-22,Minnesota,Philadelphia,112,99,202311220MIN
2023-11-22,New Orleans,Sacramento,117,112,202311220NOP
2023-11-22,Oklahoma City,Chicago,116,102,202311220OKC
2023-11-22,Orlando,Denver,124,119,202311220ORL
2023-11-22,Phoenix,Golden State,123,115,202311220PHO
2023-11-22,Portland,Utah,121,105,202311220POR
2023-11-22,LA Clippers,San Antonio,109,102,202311220SAS
2023-11-24,Golden State,San Antonio,118,112,202311240GSW
2023-11-24,Houston,Denver,105,86,202311240HOU
2023-11-24,Indiana,Detroit,136,113,202311240IND
2023-11-24,New Orleans,LA Clippers,116,106,202311240LAC
2023-11-24,Phoenix,Memphis,110,89,202311240MEM
2023-11-24,Milwaukee,Washington,131,128,202311240MIL
2023-11-24,Sacramento,Minnesota,124,111,202311240MIN
2023-11-24,New York,Miami,100,98,202311240NYK
2023-11-24,Orlando,Boston,113,96,202311240ORL
2023-11-24,Toronto,Chicago,121,108,202311240TOR
2023-11-25,Brooklyn,Miami,112,97,202311250BRK
2023-11-25,LA Lakers,Cleveland,121,115,202311250CLE
2023-11-25,LA Clippers,Dallas,107,88,202311250LAC
2023-11-25,Philadelphia,Oklahoma City,127,123,202311250OKC
2023-11-25,Utah,New Orleans,105,100,202311250UTA
2023-11-25,Atlanta,Washington,136,108,202311250WAS
2023-11-26,Boston,Atlanta,113,103,202311260BOS
2023-11-26,Brooklyn,Chicago,118,109,202311260BRK
2023-11-26,Cleveland,Toronto,105,102,202311260CLE
2023-11-26,Denver,San Antonio,132,120,202311260DEN
2023-11-26,Minnesota,Memphis,119,97,202311260MEM
2023-11-26,Milwaukee,Portland,108,102,202311260MIL
2023-11-26,Phoenix,New York,116,113,202311260NYK
2023-11-26,Orlando,Charlotte,130,117,202311260ORL
2023-11-27,Washington,Detroit,126,107,202311270DET
2023-11-27,Portland,Indiana,114,110,202311270IND
2023-11-27,Denver,LA Clippers,113,104,202311270LAC
2023-11-27,Philadelphia,LA Lakers,138,94,202311270PHI
2023-11-27,Utah,New Orleans,114,112,202311270UTA
2023-11-28,Boston,Chicago,124,97,202311280BOS
2023-11-28,Brooklyn,Toronto,115,103,202311280BRK
2023-11-28,Cleveland,Atlanta,128,105,202311280CLE
2023-11-28,Dallas,Houston,121,115,202311280DAL
2023-11-28,Milwaukee,Miami,131,124,202311280MIA
2023-11-28,Minnesota,Oklahoma City,106,103,202311280MIN
2023-11-28,New York,Charlotte,115,91,202311280NYK
2023-11-28,Sacramento,Golden State,124,123,202311280SAC
2023-11-29,Denver,Houston,134,124,202311290DEN
2023-11-29,LA Lakers,Detroit,133,107,202311290DET
2023-11-29,Memphis,Utah,105,91,202311290MEM
2023-11-29,New Orleans,Philadelphia,124,114,202311290NOP
2023-11-29,Orlando,Washington,139,120,202311290ORL
2023-11-29,LA Clippers,Sacramento,131,117,202311290SAC
2023-11-29,Toronto,Phoenix,112,105,202311290TOR
2023-11-30,Charlotte,Brooklyn,129,128,202311300BRK
2023-11-30,Chicago,Milwaukee,120,113,202311300CHI
2023-11-30,Portland,Cleveland,103,95,202311300CLE
2023-11-30,Golden State,LA Clippers,120,114,202311300GSW
2023-11-30,Miami,Indiana,142,132,202311300MIA
2023-11-30,Minnesota,Utah,101,90,202311300MIN
2023-11-30,New York,Detroit,118,112,202311300NYK
2023-11-30,Oklahoma City,LA Lakers,133,110,202311300OKC
2023-11-30,Atlanta,San Antonio,137,135,202311300SAS
2023-12-01,Boston,Philadelphia,125,119,202312010BOS
2023-12-01,Memphis,Dallas,108,94,202312010DAL
2023-12-01,New Orleans,San Antonio,121,106,202312010NOP
2023-12-01,Orlando,Washington,130,125,202312010ORL
2023-12-01,Denver,Phoenix,119,111,202312010PHO
2023-12-01,New York,Toronto,119,106,202312010TOR
2023-12-02,Brooklyn,Orlando,129,101,202312020BRK
2023-12-02,Chicago,New Orleans,124,118,202312020CHI
2023-12-02,Minnesota,Charlotte,123,117,202312020CHO
2023-12-02,Oklahoma City,Dallas,126,120,202312020DAL
2023-12-02,Cleveland,Detroit,110,101,202312020DET
2023-12-02,LA Clippers,Golden State,113,112,202312020LAC
2023-12-02,LA Lakers,Houston,107,97,202312020LAL
2023-12-02,Indiana,Miami,144,129,202312020MIA
2023-12-02,Milwaukee,Atlanta,132,121,202312020MIL
2023-12-02,Phoenix,Memphis,116,109,202312020PHO
2023-12-02,Sacramento,Denver,123,117,202312020SAC
2023-12-02,Utah,Portland,118,113,202312020UTA
2023-12-11,Denver,Atlanta,129,122,202312110ATL
2023-12-11,Miami,Charlotte,116,114,202312110CHO
2023-12-11,Indiana,Detroit,131,123,202312110DET
2023-12-11,Houston,San Antonio,93,82,202312110HOU
2023-12-11,LA Clippers,Portland,132,127,202312110LAC
2023-12-11,Dallas,Memphis,120,113,202312110MEM
2023-12-11,Milwaukee,Chicago,133,129,202312110MIL
2023-12-11,New Orleans,Minnesota,121,107,202312110NOP
2023-12-11,New York,Toronto,136,130,202312110NYK
2023-12-11,Oklahoma City,Utah,134,120,202312110OKC
2023-12-11,Orlando,Cleveland,104,94,202312110ORL
2023-12-11,Philadelphia,Washington,146,101,202312110PHI
2023-12-11,Sacramento,Brooklyn,131,118,202312110SAC
2023-12-12,Boston,Cleveland,120,113,202312120BOS
2023-12-12,Denver,Chicago,114,106,202312120CHI
2023-12-12,Dallas,LA Lakers,127,125,202312120DAL
2023-12-12,LA Clippers,Sacramento,119,99,202312120LAC
2023-12-12,Phoenix,Golden State,119,116,202312120PHO
2023-12-13,Philadelphia,Detroit,129,111,202312130DET
2023-12-13,Houston,Memphis,117,104,202312130HOU
2023-12-13,Miami,Charlotte,115,104,202312130MIA
2023-12-13,Milwaukee,Indiana,140,126,202312130MIL
2023-12-13,Brooklyn,Phoenix,116,112,202312130PHO
2023-12-13,LA Lakers,San Antonio,122,119,202312130SAS
2023-12-13,Toronto,Atlanta,135,128,202312130TOR
2023-12-13,Utah,New York,117,113,202312130UTA
2023-12-13,New Orleans,Washington,142,122,202312130WAS
2023-12-14,Boston,Cleveland,116,107,202312140BOS
2023-12-14,Minnesota,Dallas,119,101,202312140DAL
2023-12-14,Denver,Brooklyn,124,101,202312140DEN
2023-12-14,LA Clippers,Golden State,121,113,202312140LAC
2023-12-14,Chicago,Miami,124,116,202312140MIA
2023-12-14,Utah,Portland,122,114,202312140POR
2023-12-14,Sacramento,Oklahoma City,128,123,202312140SAC
2023-12-15,Boston,Orlando,128,111,202312150BOS
2023-12-15,New Orleans,Charlotte,112,107,202312150CHO
2023-12-15,Houston,Memphis,103,96,202312150MEM
2023-12-15,Philadelphia,Detroit,124,92,202312150PHI
2023-12-15,New York,Phoenix,139,122,202312150PHO
2023-12-15,San Antonio,LA Lakers,129,115,202312150SAS
2023-12-15,Atlanta,Toronto,125,104,202312150TOR
2023-12-15,Washington,Indiana,137,123,202312150WAS
2023-12-16,Philadelphia,Charlotte,135,82,202312160CHO
2023-12-16,Cleveland,Atlanta,127,119,202312160CLE
2023-12-16,Oklahoma City,Denver,118,117,202312160DEN
2023-12-16,Golden State,Brooklyn,124,120,202312160GSW
2023-12-16,LA Clippers,New York,144,122,202312160LAC
2023-12-16,Miami,Chicago,118,116,202312160MIA
2023-12-16,Milwaukee,Detroit,146,114,202312160MIL
2023-12-16,Minnesota,Indiana,127,109,202312160MIN
2023-12-16,Dallas,Portland,131,120,202312160POR
2023-12-16,Sacramento,Utah,125,104,202312160SAC
2023-12-17,Boston,Orlando,114,97,202312170BOS
2023-12-17,Milwaukee,Houston,128,119,202312170MIL
2023-12-17,Phoenix,Washington,112,108,202312170PHO
2023-12-17,Golden State,Portland,118,114,202312170POR
2023-12-17,New Orleans,San Antonio,146,110,202312170SAS
2023-12-18,Atlanta,Detroit,130,124,202312180ATL
2023-12-18,Cleveland,Houston,135,130,202312180CLE
2023-12-18,Denver,Dallas,130,104,202312180DEN
2023-12-18,LA Clippers,Indiana,151,127,202312180IND
2023-12-18,New York,LA Lakers,114,109,202312180LAL
2023-12-18,Minnesota,Miami,112,108,202312180MIA
2023-12-18,Oklahoma City,Memphis,116,97,202312180OKC
2023-12-18,Chicago,Philadelphia,108,104,202312180PHI
2023-12-18,Sacramento,Washington,143,131,202312180SAC
2023-12-18,Toronto,Charlotte,114,99,202312180TOR
2023-12-18,Utah,Brooklyn,125,108,202312180UTA
2023-12-19,Golden State,Boston,132,126,202312190GSW
2023-12-19,Milwaukee,San Antonio,132,119,202312190MIL
2023-12-19,Memphis,New Orleans,115,113,202312190NOP
2023-12-19,Portland,Phoenix,109,104,202312190POR
2023-12-20,New York,Brooklyn,121,102,202312200BRK
2023-12-20,Chicago,LA Lakers,124,108,202312200CHI
2023-12-20,Cleveland,Utah,124,116,202312200CLE
2023-12-20,LA Clippers,Dallas,120,111,202312200DAL
2023-12-20,Atlanta,Houston,134,127,202312200HOU
2023-12-20,Indiana,Charlotte,144,113,202312200IND
2023-12-20,Miami,Orlando,115,106,202312200ORL
2023-12-20,Philadelphia,Minnesota,127,113,202312200PHI
2023-12-20,Boston,Sacramento,144,119,202312200SAC
2023-12-20,Denver,Toronto,113,104,202312200TOR
2023-12-21,Chicago,San Antonio,114,95,202312210CHI
2023-12-21,New Orleans,Cleveland,123,104,202312210CLE
2023-12-21,Utah,Detroit,119,111,202312210DET
2023-12-21,Memphis,Indiana,116,103,202312210MEM
2023-12-21,Milwaukee,Orlando,118,114,202312210MIL
2023-12-21,Minnesota,LA Lakers,118,111,202312210MIN
2023-12-21,Oklahoma City,LA Clippers,134,115,202312210OKC
2023-12-21,Washington,Portland,118,117,202312210POR
2023-12-22,Denver,Brooklyn,122,117,202312220BRK
2023-12-22,Golden State,Washington,129,118,202312220GSW
2023-12-22,Houston,Dallas,122,96,202312220HOU
2023-12-22,Miami,Atlanta,122,113,202312220MIA
2023-12-22,Philadelphia,Toronto,121,111,202312220PHI
2023-12-22,Sacramento,Phoenix,120,105,202312220SAC
2023-12-23,Memphis,Atlanta,125,119,202312230ATL
2023-12-23,Brooklyn,Detroit,126,115,202312230BRK
2023-12-23,Cleveland,Chicago,109,95,202312230CHI
2023-12-23,Denver,Charlotte,102,95,202312230CHO
2023-12-23,Dallas,San Antonio,144,119,202312230DAL
2023-12-23,Golden State,Portland,126,106,202312230GSW
2023-12-23,Orlando,Indiana,117,110,202312230IND
2023-12-23,Boston,LA Clippers,145,108,202312230LAC
2023-12-23,Houston,New Orleans,106,104,202312230NOP
2023-12-23,Milwaukee,New York,130,111,202312230NYK
2023-12-23,LA Lakers,Oklahoma City,129,120,202312230OKC
2023-12-23,Minnesota,Sacramento,110,98,202312230SAC
2023-12-23,Utah,Toronto,126,119,202312230TOR
2023-12-25,Denver,Golden State,120,114,202312250DEN
2023-12-25,Boston,LA Lakers,126,115,202312250LAL
2023-12-25,Miami,Philadelphia,119,113,202312250MIA
2023-12-25,New York,Milwaukee,129,122,202312250NYK
2023-12-25,Dallas,Phoenix,128,114,202312250PHO
2023-12-26,Chicago,Atlanta,118,113,202312260CHI
2023-12-26,Brooklyn,Detroit,118,112,202312260DET
2023-12-26,Indiana,Houston,123,117,202312260HOU
2023-12-26,LA Clippers,Charlotte,113,104,202312260LAC
2023-12-26,Memphis,New Orleans,116,115,202312260NOP
2023-12-26,Oklahoma City,Minnesota,129,106,202312260OKC
2023-12-26,Portland,Sacramento,130,113,202312260POR
2023-12-26,Utah,San Antonio,130,118,202312260SAS
2023-12-26,Orlando,Washington,127,119,202312260WAS
2023-12-27,Milwaukee,Brooklyn,144,122,202312270BRK
2023-12-27,Cleveland,Dallas,113,110,202312270DAL
2023-12-27,Phoenix,Houston,129,113,202312270HOU
2023-12-27,Oklahoma City,New York,129,120,202312270OKC
2023-12-27,Philadelphia,Orlando,112,92,202312270ORL
2023-12-27,Toronto,Washington,132,102,202312270WAS
2023-12-28,Boston,Detroit,128,122,202312280BOS
2023-12-28,Indiana,Chicago,120,104,202312280CHI
2023-12-28,Denver,Memphis,142,105,202312280DEN
2023-12-28,Miami,Golden State,114,102,202312280GSW
2023-12-28,LA Lakers,Charlotte,133,112,202312280LAL
2023-12-28,Minnesota,Dallas,118,110,202312280MIN
2023-12-28,New Orleans,Utah,112,105,202312280NOP
2023-12-28,San Antonio,Portland,118,105,202312280POR
2023-12-29,Sacramento,Atlanta,117,110,202312290ATL
2023-12-29,Boston,Toronto,120,118,202312290BOS
2023-12-29,Milwaukee,Cleveland,119,111,202312290CLE
2023-12-29,Oklahoma City,Denver,119,93,202312290DEN
2023-12-29,Philadelphia,Houston,131,127,202312290HOU
2023-12-29,LA Clippers,Memphis,117,106,202312290LAC
2023-12-29,Orlando,New York,117,108,202312290ORL
2023-12-29,Phoenix,Charlotte,133,119,202312290PHO
2023-12-29,Portland,San Antonio,134,128,202312290POR
2023-12-29,Washington,Brooklyn,110,104,202312290WAS
2023-12-30,Chicago,Philadelphia,105,92,202312300CHI
2023-12-30,Detroit,Toronto,129,127,202312300DET
2023-12-30,Dallas,Golden State,132,122,202312300GSW
2023-12-30,Indiana,New York,140,126,202312300IND
2023-12-30,Minnesota,LA Lakers,108,106,202312300MIN
2023-12-30,Utah,Miami,117,109,202312300UTA
2023-12-31,Sacramento,Memphis,123,92,202312310MEM
2023-12-31,New Orleans,LA Lakers,129,109,202312310NOP
2023-12-31,Oklahoma City,Brooklyn,124,108,202312310OKC
2023-12-31,Phoenix,Orlando,112,107,202312310PHO
2023-12-31,Boston,San Antonio,134,101,202312310SAS
2023-12-31,Atlanta,Washington,130,126,202312310WAS
2024-01-01,Denver,Charlotte,111,93,202401010DEN
2024-01-01,Houston,Detroit,136,113,202401010HOU
2024-01-01,LA Clippers,Miami,121,104,202401010LAC
2024-01-01,Indiana,Milwaukee,122,113,202401010MIL
2024-01-01,New York,Minnesota,112,106,202401010NYK
2024-01-01,Phoenix,Portland,109,88,202401010PHO
2024-01-01,Toronto,Cleveland,124,121,202401010TOR
2024-01-01,Utah,Dallas,127,90,202401010UTA
2024-01-02,Golden State,Orlando,121,115,202401020GSW
2024-01-02,Memphis,San Antonio,106,98,202401020MEM
2024-01-02,New Orleans,Brooklyn,112,85,202401020NOP
2024-01-02,Oklahoma City,Boston,127,123,202401020OKC
2024-01-02,Philadelphia,Chicago,110,97,202401020PHI
2024-01-02,Charlotte,Sacramento,111,104,202401020SAC
2024-01-03,Atlanta,Oklahoma City,141,138,202401030ATL
2024-01-03,Cleveland,Washington,140,101,202401030CLE
2024-01-03,Dallas,Portland,126,97,202401030DAL
2024-01-03,Houston,Brooklyn,112,101,202401030HOU
2024-01-03,Indiana,Milwaukee,142,130,202401030IND
2024-01-03,Miami,LA Lakers,110,96,202401030LAL
2024-01-03,Toronto,Memphis,116,111,202401030MEM
2024-01-03,New Orleans,Minnesota,117,106,202401030MIN
2024-01-03,New York,Chicago,116,100,202401030NYK
2024-01-03,LA Clippers,Phoenix,131,122,202401030PHO
2024-01-03,Sacramento,Orlando,138,135,202401030SAC
2024-01-03,Utah,Detroit,154,148,202401030UTA
2024-01-04,Denver,Golden State,130,127,202401040GSW
2024-01-04,Milwaukee,San Antonio,125,121,202401040SAS
2024-01-05,Boston,Utah,126,97,202401050BOS
2024-01-05,Brooklyn,Oklahoma City,124,115,202401050BRK
2024-01-05,Chicago,Charlotte,104,91,202401050CHI
2024-01-05,Cleveland,Washington,114,90,202401050CLE
2024-01-05,Dallas,Portland,139,103,202401050DAL
2024-01-05,Orlando,Denver,122,120,202401050DEN
2024-01-05,Golden State,Detroit,113,109,202401050GSW
2024-01-05,Minnesota,Houston,122,95,202401050HOU
