name,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,start,win,game_id
Precious Achiuwa,24.0,4.0,9.0,0.444,0.0,1.0,0.0,0.0,0.0,,3.0,5.0,8.0,0.0,0.0,0.0,2.0,1.0,8.0,-5.0,0,1,202310250TOR
Jalen McDaniels,16.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,-3.0,0,1,202310250TOR
Malachi Flynn,9.0,1.0,3.0,0.333,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,2.0,4.0,3.0,-14.0,0,1,202310250TOR
Gradey Dick,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1,202310250TOR
Chris Boucher,,,,,,,,,,,,,,,,,,,,,0,1,202310250TOR
Otto Porter Jr.,,,,,,,,,,,,,,,,,,,,,0,1,202310250TOR
Garrett Temple,,,,,,,,,,,,,,,,,,,,,0,1,202310250TOR
Thaddeus Young,,,,,,,,,,,,,,,,,,,,,0,1,202310250TOR
Harrison Barnes,33.0,11.0,16.0,0.688,5.0,7.0,0.714,6.0,6.0,1.0,0.0,4.0,4.0,2.0,1.0,0.0,1.0,2.0,33.0,10.0,1,1,202310250UTA
De'Aaron Fox,32.0,6.0,18.0,0.333,1.0,7.0,0.143,5.0,6.0,0.833,2.0,3.0,5.0,6.0,1.0,1.0,3.0,4.0,18.0,14.0,1,1,202310250UTA
Domantas Sabonis,32.0,8.0,14.0,0.571,1.0,2.0,0.5,5.0,7.0,0.714,6.0,6.0,12.0,5.0,1.0,2.0,3.0,3.0,22.0,5.0,1,1,202310250UTA
Keegan Murray,29.0,5.0,13.0,0.385,4.0,9.0,0.444,1.0,1.0,1.0,2.0,6.0,8.0,1.0,1.0,2.0,0.0,4.0,15.0,12.0,1,1,202310250UTA
Kevin Huerter,23.0,3.0,9.0,0.333,1.0,5.0,0.2,0.0,0.0,,2.0,3.0,5.0,2.0,0.0,0.0,1.0,3.0,7.0,6.0,1,1,202310250UTA
Malik Monk,23.0,4.0,12.0,0.333,2.0,9.0,0.222,0.0,0.0,,1.0,1.0,2.0,7.0,0.0,2.0,2.0,2.0,10.0,12.0,0,1,202310250UTA
Sasha Vezenkov,15.0,3.0,6.0,0.5,2.0,5.0,0.4,0.0,0.0,,1.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,8.0,9.0,0,1,202310250UTA
Chris Duarte,14.0,3.0,5.0,0.6,3.0,4.0,0.75,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,9.0,5.0,0,1,202310250UTA
Davion Mitchell,13.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,3.0,3.0,4.0,0.0,0.0,1.0,3.0,0.0,4.0,0,1,202310250UTA
JaVale McGee,13.0,4.0,4.0,1.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,8.0,13.0,0,1,202310250UTA
Alex Len,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0,1,202310250UTA
Kessler Edwards,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0,1,202310250UTA
Keon Ellis,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0,1,202310250UTA
Jordan Ford,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0,1,202310250UTA
Colby Jones,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0,1,202310250UTA
Lauri Markkanen,31.0,6.0,15.0,0.4,2.0,6.0,0.333,5.0,6.0,0.833,2.0,8.0,10.0,1.0,2.0,0.0,1.0,1.0,19.0,-7.0,1,0,202310250UTA
John Collins,30.0,6.0,11.0,0.545,1.0,3.0,0.333,2.0,2.0,1.0,3.0,8.0,11.0,2.0,1.0,0.0,0.0,3.0,15.0,-9.0,1,0,202310250UTA
Jordan Clarkson,30.0,8.0,16.0,0.5,2.0,5.0,0.4,6.0,8.0,0.75,2.0,2.0,4.0,6.0,0.0,0.0,2.0,4.0,24.0,-4.0,1,0,202310250UTA
Walker Kessler,22.0,4.0,5.0,0.8,0.0,0.0,,0.0,0.0,,4.0,4.0,8.0,0.0,0.0,1.0,1.0,3.0,8.0,-14.0,1,0,202310250UTA
Talen Horton-Tucker,21.0,3.0,9.0,0.333,2.0,4.0,0.5,0.0,0.0,,0.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,8.0,-5.0,1,0,202310250UTA
Collin Sexton,19.0,2.0,9.0,0.222,0.0,2.0,0.0,5.0,7.0,0.714,0.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,9.0,-10.0,0,0,202310250UTA
Ochai Agbaji,19.0,2.0,6.0,0.333,1.0,2.0,0.5,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,-11.0,0,0,202310250UTA
Keyonte George,18.0,3.0,5.0,0.6,1.0,3.0,0.333,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,8.0,-9.0,0,0,202310250UTA
