name,name_short,code,position
Markelle Fultz,M. Fultz,fultzma01,G
Jermaine Samuels,J. Samuels,samueje01,F
Reggie Bullock,R. Bullock,bullore01,F
Boban Marjanović,B. Marjanovic,marjabo01,C
Chuma Okeke,C. Okeke,okekech01,F
Dante Exum,D. Exum,exumda01,G
Dominick Barlow,D. Barlow,barlodo01,F
Devonte' Graham,D. Graham,grahade01,G
Devin Vassell,D. Vassell,vassede01,F
Cedi Osman,C. Osman,osmande01,F
Otto Porter Jr.,O. Porter Jr.,porteot01,F
Jalen McDaniels,J. McDaniels,mcdanja01,F
Troy Brown Jr.,T. Brown Jr.,browntr01,F
Precious Achiuwa,P. Achiuwa,achiupr01,C
Thaddeus Young,T. Young,youngth01,F
Malachi Flynn,M. Flynn,flynnma01,G
Luka Šamanić,L. Samanic,samanlu01,F
JaVale McGee,J. McGee,mcgeeja01,C
Sasha Vezenkov,S. Vezenkov,vezenal01,F
Omer Yurtseven,O. Yurtseven,yurtsom01,C
Kelly Olynyk,K. Olynyk,olynyke01,C
Jordan Ford,J. Ford,fordjo01,G
D'Moi Hodge,D. Hodge,hodgedm01,G
Filip Petrušev,F. Petrusev,petrufi01,C
Danny Green,D. Green,greenda02,F
Danuel House Jr.,D. House Jr.,houseda01,F
P.J. Tucker,P. Tucker,tuckepj01,F
Thanasis Antetokounmpo,T. Antetokounmpo,antetth01,F
Khris Middleton,K. Middleton,middlkh01,F
Furkan Korkmaz,F. Korkmaz,korkmfu01,G
Patrick Beverley,P. Beverley,beverpa01,G
Robin Lopez,R. Lopez,lopezro01,C
Jae Crowder,J. Crowder,crowdja01,F
Joel Embiid,J. Embiid,embiijo01,C
Mo Bamba,M. Bamba,bambamo01,C
Bryce McGowens,B. McGowens,mcgowbr01,G
Frank Ntilikina,F. Ntilikina,ntilila01,G
Armoni Brooks,A. Brooks,brookar01,G
Skylar Mays,S. Mays,mayssk01,G
Jalen Slawson,J. Slawson,slawsja01,F
Javon Freeman-Liberty,J. Freeman-Liberty,freemja01,G
TyTy Washington Jr.,T. Washington Jr.,washity02,G
Keyontae Johnson,K. Johnson,johnske08,F
Jerome Robinson,J. Robinson,robinje01,G
Ron Harper Jr.,R. Harper Jr.,harpero02,F
Justin Minaya,J. Minaya,minayju01,F
Landry Shamet,L. Shamet,shamela01,G
Nate Hinton,N. Hinton,hintona01,F
Alex Fudge,A. Fudge,fudgeal01,F
Joshua Primo,J. Primo,primojo01,F
Dereon Seabron,D. Seabron,seabrde01,G
Marcus Morris,M. Morris,morrima03,F
Jaylin Williams,J. Williams,willija07,C
Usman Garuba,U. Garuba,garubus01,C
Bismack Biyombo,B. Biyombo,biyombi01,C
Onuralp Bitim,O. Bitim,bitimon01,G
Ish Smith,I. Smith,smithis01,G
Admiral Schofield,A. Schofield,schofad01,F
Lindell Wigginton,L. Wigginton,wiggili01,G
Seth Lundy,S. Lundy,lundyse01,F
Kevin Knox,K. Knox,knoxke01,F
Wesley Matthews,W. Matthews,matthwe02,F
Ish Wainright,I. Wainright,wainris01,F
Jamaree Bouyea,J. Bouyea,bouyeja01,G
Markquis Nowell,M. Nowell,nowelma01,G
Isaiah Livers,I. Livers,liveris01,F
Kenrich Williams,K. Williams,willike04,F
Marques Bolden,M. Bolden,boldema01,C
Charles Bediako,C. Bediako,bediach01,C
Sir'Jabari Rice,S. Rice,ricesi01,G
Jarred Vanderbilt,J. Vanderbilt,vandeja01,F
James Bouknight,J. Bouknight,bouknja01,G
Shaquille Harrison,S. Harrison,harrish01,G
Jaylen Nowell,J. Nowell,nowelja01,G
Xavier Moon,X. Moon,moonxa01,G
A.J. Lawson,A. Lawson,lawsoaj01,G
Dexter Dennis,D. Dennis,dennide01,G
Trey Murphy III,T. Murphy III,murphtr02,F
Greg Brown III,G. Brown III,browngr01,F
Bojan Bogdanović,B. Bogdanovic,bogdabo02,F
Charlie Brown Jr.,C. Brown Jr.,brownch02,G
Jules Bernard,J. Bernard,bernaju01,G
Nathan Mensah,N. Mensah,mensana01,C
Juan Toscano-Anderson,J. Toscano-Anderson,toscaju01,F
Miles Norris,M. Norris,norrimi01,F
Javonte Smart,J. Smart,smartja01,G
Dmytro Skapintsev,D. Skapintsev,skapidm01,C
Jontay Porter,J. Porter,portejo01,F
Ibou Badji,I. Badji,badjiib01,C
Mamadi Diakite,M. Diakite,diakima01,C
Kendall Brown,K. Brown,brownke03,G
Terquavion Smith,T. Smith,smithte01,G
Victor Oladipo,V. Oladipo,oladivi01,G
Hamidou Diallo,H. Diallo,diallha01,F
Kevon Harris,K. Harris,harrike01,G
Isaiah Wong,I. Wong,wongis01,G
Pete Nance,P. Nance,nancepe01,F
Malcolm Hill,M. Hill,hillma01,F
Matthew Hurt,M. Hurt,hurtma01,F
Henri Drell,H. Drell,drellhe01,F
Tosan Evbuomwan,T. Evbuomwan,evbuoto01,F
GG Jackson II,G. Jackson II,jacksgg01,F
Duane Washington Jr.,D. Washington Jr.,washidu02,G
