name,name_short,code,position
Jeremiah Robinson-Earl,J. Robinson-Earl,robinje02,C
Yves Missi,Y. Missi,missiyv01,C
Karlo Matković,K. Matkovic,matkoka01,F
Antonio Reeves,A. Reeves,reevean01,G
Torrey Craig,T. Craig,craigto01,F
Trey Jemison,T. Jemison,jemistr01,C
CJ McCollum,C. McCollum,mccolcj01,G
Jose Alvarado,J. Alvarado,alvarjo01,G
Jevon Carter,J. Carter,carteje01,G
Chris Duarte,C. Duarte,duartch01,F
Jalen Smith,J. Smith,smithja04,C
Dalen Terry,D. Terry,terryda01,G
Zach LaVine,Z. LaVine,lavinza01,F
Josh Giddey,J. Giddey,giddejo01,F
Patrick Williams,P. Williams,willipa01,F
Coby White,C. White,whiteco01,G
Julian Phillips,J. Phillips,phillju01,F
Lonzo Ball,L. Ball,balllo01,G
Talen Horton-Tucker,T. Horton-Tucker,hortota01,G
Matas Buzelis,M. Buzelis,buzelma01,F
Ayo Dosunmu,A. Dosunmu,dosunay01,G
Nikola Vučević,N. Vucevic,vucevni01,C
Reggie Jackson,R. Jackson,jacksre01,G
Eric Gordon,E. Gordon,gordoer01,F
KJ Martin,K. Martin,martike04,F
Caleb Martin,C. Martin,martica02,F
Ricky Council IV,R. Council IV,councri01,G
Guerschon Yabusele,G. Yabusele,yabusgu01,F
Adem Bona,A. Bona,bonaad01,F
Lester Quiñones,L. Quinones,quinole01,G
Justin Edwards,J. Edwards,edwarju01,G
Paul George,P. George,georgpa01,F
Andre Drummond,A. Drummond,drumman01,C
Jared McCain,J. McCain,mccaija01,G
Damian Lillard,D. Lillard,lillada01,G
Jeff Dowtin,J. Dowtin,dowtije01,G
Kelly Oubre Jr.,K. Oubre Jr.,oubreke01,F
Pat Connaughton,P. Connaughton,connapa01,F
Chris Livingston,C. Livingston,livinch01,F
Kyle Lowry,K. Lowry,lowryky01,G
Gary Trent Jr.,G. Trent Jr.,trentga02,F
Giannis Antetokounmpo,G. Antetokounmpo,antetgi01,F
Taurean Prince,T. Prince,princta02,F
Tyrese Maxey,T. Maxey,maxeyty01,G
Delon Wright,D. Wright,wrighde01,G
Bobby Portis,B. Portis,portibo01,C
Andre Jackson Jr.,A. Jackson Jr.,jacksan01,G
AJ Johnson,A. Johnson,johnsaj01,G
Ryan Rollins,R. Rollins,rolliry01,G
MarJon Beauchamp,M. Beauchamp,beaucma01,F
Brook Lopez,B. Lopez,lopezbr01,C
A.J. Green,A. Green,greenaj01,G
Tyler Smith,T. Smith,smithty02,F
Kris Murray,K. Murray,murrakr01,F
Deni Avdija,D. Avdija,avdijde01,F
Scoot Henderson,S. Henderson,hendesc01,G
Rayan Rupert,R. Rupert,ruperra01,G
Donovan Clingan,D. Clingan,clingdo01,C
Duop Reath,D. Reath,reathdu01,C
Jabari Walker,J. Walker,walkeja01,F
Shaedon Sharpe,S. Sharpe,sharpsh01,G
Matisse Thybulle,M. Thybulle,thybuma01,F
Robert Williams,R. Williams,williro04,C
Deandre Ayton,D. Ayton,aytonde01,C
Anfernee Simons,A. Simons,simonan01,G
Toumani Camara,T. Camara,camarto01,F
Dalano Banton,D. Banton,bantoda01,F
Kyle Anderson,K. Anderson,anderky01,F
Gui Santos,G. Santos,santogu01,F
Jerami Grant,J. Grant,grantje01,F
Trayce Jackson-Davis,T. Jackson-Davis,jackstr02,C
Andrew Wiggins,A. Wiggins,wiggian01,F
Draymond Green,D. Green,greendr01,F
Brandin Podziemski,B. Podziemski,podzibr01,G
Jonathan Kuminga,J. Kuminga,kuminjo01,C
De'Anthony Melton,D. Melton,meltode01,G
Buddy Hield,B. Hield,hieldbu01,F
Gary Payton II,G. Payton II,paytoga02,F
Kevon Looney,K. Looney,looneke01,C
Lindy Waters III,L. Waters III,waterli01,G
Moses Moody,M. Moody,moodymo01,G
Stephen Curry,S. Curry,curryst01,G
Scottie Barnes,S. Barnes,barnesc01,F
Ochai Agbaji,O. Agbaji,agbajoc01,G
Chris Boucher,C. Boucher,bouchch01,C
Jakob Poeltl,J. Poeltl,poeltja01,C
Immanuel Quickley,I. Quickley,quickim01,G
Garrett Temple,G. Temple,templga01,F
Jonathan Mogbo,J. Mogbo,mogbojo01,F
Ulrich Chomche,U. Chomche,chomcul01,F
Jamison Battle,J. Battle,battlja01,F
Jamal Shead,J. Shead,sheadja01,G
Bruno Fernando,B. Fernando,fernabr01,C
Gradey Dick,G. Dick,dickgr01,G
Davion Mitchell,D. Mitchell,mitchda01,G
Darius Garland,D. Garland,garlada01,G
Evan Mobley,E. Mobley,mobleev01,C
Jarrett Allen,J. Allen,allenja01,C
Dean Wade,D. Wade,wadede01,F
Caris LeVert,C. LeVert,leverca01,F
Georges Niang,G. Niang,niangge01,F
Donovan Mitchell,D. Mitchell,mitchdo01,G
Sam Merrill,S. Merrill,merrisa01,G
Craig Porter Jr.,C. Porter Jr.,portecr01,G
Isaac Okoro,I. Okoro,okorois01,F
Tristan Thompson,T. Thompson,thomptr01,C
Jaylon Tyson,J. Tyson,tysonja01,G
Ty Jerome,T. Jerome,jeromty01,G
Collin Sexton,C. Sexton,sextoco01,G
Jordan Clarkson,J. Clarkson,clarkjo01,G
Patty Mills,P. Mills,millspa02,G
Walker Kessler,W. Kessler,kesslwa01,C
Cody Williams,C. Williams,willico04,G
Micah Potter,M. Potter,pottemi01,C
Svi Mykhailiuk,S. Mykhailiuk,mykhasv01,F
Taylor Hendricks,T. Hendricks,hendrita01,F
Brice Sensabaugh,B. Sensabaugh,sensabr01,F
Drew Eubanks,D. Eubanks,eubandr01,C
Brandon Clarke,B. Clarke,clarkbr01,F
Kyle Filipowski,K. Filipowski,filipky01,C
John Collins,J. Collins,collijo01,F
Oscar Tshiebwe,O. Tshiebwe,tshieos01,F
Keyonte George,K. George,georgke01,G
Marcus Smart,M. Smart,smartma01,G
Santi Aldama,S. Aldama,aldamsa01,F
Yuki Kawamura,Y. Kawamura,kawamyu01,G
John Konchar,J. Konchar,konchjo01,F
Jake LaRavia,J. LaRavia,laravja01,F
Scotty Pippen Jr.,S. Pippen Jr.,pippesc02,G
Jay Huff,J. Huff,huffja01,C
Jaylen Wells,J. Wells,wellsja01,F
Desmond Bane,D. Bane,banede01,G
Ja Morant,J. Morant,moranja01,G
Zach Edey,Z. Edey,edeyza01,C
Lauri Markkanen,L. Markkanen,markkla01,F
Markieff Morris,M. Morris,morrima02,F
Daniel Gafford,D. Gafford,gaffoda01,C
Jaden Hardy,J. Hardy,hardyja02,G
Dereck Lively II,D. Lively II,livelde01,C
Naji Marshall,N. Marshall,marshna01,F
P.J. Washington,P. Washington,washipj01,C
Kyrie Irving,K. Irving,irvinky01,G
Maxi Kleber,M. Kleber,klebima01,C
Quentin Grimes,Q. Grimes,grimequ01,G
Spencer Dinwiddie,S. Dinwiddie,dinwisp01,G
Dwight Powell,D. Powell,poweldw01,C
Olivier-Maxence Prosper,O. Prosper,prospol01,F
Jazian Gortman,J. Gortman,gortmja01,G
Luka Dončić,L. Doncic,doncilu01,G
Klay Thompson,K. Thompson,thompkl01,F
Harrison Barnes,H. Barnes,barneha02,F
Harrison Ingram,H. Ingram,ingraha01,F
Blake Wesley,B. Wesley,weslebl01,G
Chris Paul,C. Paul,paulch01,G
Victor Wembanyama,V. Wembanyama,wembavi01,C
Julian Champagnie,J. Champagnie,champju02,F
Keldon Johnson,K. Johnson,johnske04,F
Sandro Mamukelashvili,S. Mamukelashvili,mamuksa01,C
Jeremy Sochan,J. Sochan,sochaje01,F
Zach Collins,Z. Collins,colliza01,C
Malaki Branham,M. Branham,branhma01,G
Stephon Castle,S. Castle,castlst01,G
Charles Bassey,C. Bassey,bassech01,C
Sidy Cissoko,S. Cissoko,cissosi01,F
Tre Jones,T. Jones,jonestr01,G
Michael Porter Jr.,M. Porter Jr.,portemi01,F
Christian Braun,C. Braun,braunch01,G
Russell Westbrook,R. Westbrook,westbru01,G
Peyton Watson,P. Watson,watsope01,F
Dario Šarić,D. Saric,saricda01,C
Julian Strawther,J. Strawther,strawju01,F
Hunter Tyson,H. Tyson,tysonhu01,F
Jalen Pickett,J. Pickett,pickeja02,G
DeAndre Jordan,D. Jordan,jordade01,C
Aaron Gordon,A. Gordon,gordoaa01,F
Zeke Nnaji,Z. Nnaji,nnajize01,F
Nikola Jokić,N. Jokic,jokicni01,C
Vlatko Čančar,V. Cancar,cancavl01,F
Trey Alexander,T. Alexander,alexatr01,G
Chet Holmgren,C. Holmgren,holmgch01,C
Alex Caruso,A. Caruso,carusal01,G
Jalen Williams,J. Williams,willija06,F
Luguentz Dort,L. Dort,dortlu01,F
Isaiah Joe,I. Joe,joeis01,G
Cason Wallace,C. Wallace,wallaca01,G
Aaron Wiggins,A. Wiggins,wiggiaa01,G
Ajay Mitchell,A. Mitchell,mitchaj01,G
Jamal Murray,J. Murray,murraja01,G
Alex Ducas,A. Ducas,ducasal01,G
Adam Flagler,A. Flagler,flaglad01,G
Dillon Jones,D. Jones,jonesdi01,F
Alex Reese,A. Reese,reeseal01,F
